Landscape,Site,Date,Transect,Plot.ID,Time,Local.Name,English.Name,Scientific.Name,Taxon.Rank,Indv,Distance,Observation.Type
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:15,Kucica hutan,White-rumped Shama,Kittacincla malabarica,Species,1,7,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:17,Takur tutut,Red-crowned Barbet,Psilopogon rafflesii,Species,1,15,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:18,Kuau raja,Great Argus,Argusianus argus,Species,1,20,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:19,Takur telinga hitam,Black-eared Barbet,Psilopogon duvaucelii,Species,1,15,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:22,Cinenen merah,Rufous-tailed Tailorbird,Orthotomus sericeus,Species,2,7,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:23,Cipoh kacat,Common Iora,Aegithina tiphia,Species,1,5,VES
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:24,Kehicap ranting,Black-naped Monarch,Hypothymis azurea,Species,1,10,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:27,Cucak kurincang,Black-headed Bulbul,Brachypodius atriceps,Species,1,10,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:29,Asi besar,Rufous-crowned Babbler,Malacopteron magnum,Species,1,7,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:31,Cinenen kelabu,Ashy Tailorbird,Orthotomus ruficeps,Species,1,7,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:32,Merbah belukar,Olive-winged Bulbul,Pycnonotus plumosus,Species,1,7,VES
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:34,Tepus merbah sampah,Grey-hooded Babbler,Cyanoderma bicolor,Species,1,10,PointLoc
Kalbar,Gunung Raya,31-Aug-23,GR-BP,GR-BP-P1,10:34,Merbah corok-corok,Cream-vented Bulbul,Pycnonotus simplex,Species,2,10,VES
