Landscape,Site,Date,Transect,Plot.ID,Time,Local.Name,English.Name,Scientific.Name,Taxon.Rank,Indv,Distance,Observation.Type
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.15 WIB,White-rumped Shama,Kucica hutan,Kittacincla malabarica,spesies,1,7,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.17 WIB,Red-crowned Barbet,Takur tutut,Psilopogon rafflesii,spesies,1,15,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.18 WIB,Great Argus,Kuau raja,Argusianus argus,spesies,1,20,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.19 WIB,Black-eared Barbet,Takur telinga hitam,Psilopogon duvaucelii,spesies,1,15,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.22 WIB,Rufous-tailed Tailorbird,Cinenen merah,Orthotomus sericeus,spesies,2,7,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.23 WIB,Common Iora,Cipoh kacat,Aegithina tiphia,spesies,1,5,VES
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.24 WIB,Black-naped Monarch,Kehicap ranting,Hypothymis azurea,spesies,1,10,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.27 WIB,Black-headed Bulbul,Cucak kurincang,Brachypodius atriceps,spesies,1,10,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.29 WIB,Rufous-crowned Babbler,Asi besar,Malacopteron magnum,spesies,1,7,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.31 WIB,Ashy Tailorbird,Cinenen kelabu,Orthotomus ruficeps,spesies,1,7,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.32 WIB,Olive-winged Bulbul,Merbah belukar,Pycnonotus plumosus,spesies,1,7,VES
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.34 WIB,Grey-hooded Babbler,Tepus merbah sampah,Cyanoderma bicolor,spesies,1,10,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.34 WIB,Cream-vented Bulbul,Merbah corok-corok,Pycnonotus simplex,spesies,2,10,VES
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.35 WIB,Slender-billed Crow,Gagak hutan,Corvus enca,spesies,1,15,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P1,10.35 WIB,Black-eared Barbet,Takur telinga hitam,Psilopogon duvaucelii,spesies,1,15,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P2,11.00 WIB,Ashy Tailorbird,Cinenen kelabu,Orthotomus ruficeps,spesies,1,7,VES
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P2,11.02 WIB,Olive-winged Bulbul,Merbah belukar,Pycnonotus plumosus,spesies,1,7,VES
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P2,11.04 WIB,Black-eared Barbet,Takur telinga hitam,Psilopogon duvaucelii,spesies,2,15,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P2,11.08 WIB,Cream-vented Bulbul,Merbah corok-corok,Pycnonotus simplex,spesies,1,15,VES
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P2,11.15 WIB,Rufous-tailed Tailorbird,Cinenen merah,Orthotomus sericeus,spesies,1,10,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P2,11.18 WIB,Black-naped Monarch,Kehicap ranting,Hypothymis azurea,spesies,1,7,VES
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P3,11.27 WIB,Black-eared Barbet,Takur telinga hitam,Psilopogon duvaucelii,spesies,1,10,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P3,11.34 WIB,House Swallow,Layang-layang  asia,Hirundo javanica,spesies,3,15,VES
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P3,11.40 WIB,Little Bronze-cuckoo,Kedasi laut,Chalcites minutillus,spesies,1,15,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P3,11.52 WIB,Brown Fulvetta,Wergan cokelat,Alcippe brunneicauda,spesies,2,15,PointLoc
KALIMANTAN BARAT,GUNUNG RAYA,31/08/2023,GR-BP,GR-BP-P3,11.54 WIB,Plain Sunbird,Burung-madu polos,Anthreptes simplex,spesies,1,15,PointLoc
