Landscape,Site,Date,Transect,Survey.Method,Habitat.Type,Day.Night,Plot.ID,Observer,Time,Scientific.Name,Taxon.Rank,Speciment.ID,Family,Group1,Group2,SVL,TaL,Hor,Ver,Substrate,Activity,Photo.ID,Note
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:59,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,3.7,,1,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:40,Limnonectes leporinus,Spesies,-,Dicroglossidae,Amphibians,Frogs,5.6,,0,0,Serasah,Diam,,Anakan
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:03,Tropidophorus beccarii,Spesies,-,Scincidae,Reptiles,Saurias,6.1,,0,0,Batu,Diam,,Batuan berlumut
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:37,Staurois guttatus,Spesies,-,Ranidae,Amphibians,Frogs,5,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:30,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,4.5,,0.5,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:37,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,5.1,,0.5,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:13,Limnonectes kuhlii,Spesies,-,Dicroglossidae,Amphibians,Frogs,5,,0,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:45,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,4.8,,1,1,Akar,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:32,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,4.2,,1,1,Akar,Lompat,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:17,Limnonectes ingeri,Spesies,-,Dicroglossidae,Amphibians,Frogs,4.98,,2,1.5,Tanah,Diam,,Ditemukan pada tebing
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:09,Polypedates colletti,Spesies,-,Rhacophoridae,Amphibians,Frogs,5.48,,1,2,Ranting,Diam,,
