Landscape,Site,Date,Transect,Survey.Method,Habitat.Type,Day.Night,Plot.ID,Observer,Time,Scientific.Name,Taxon.Rank,Speciment.ID,Family,Group1,Group2,SVL,TaL,Hor,Ver,Substrate,Activity,Photo.ID,Note
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:59,Crocodylus porosus,Species,-,Ranidae,Amphibians,Frogs,3.7,,1,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:40,Spilocuscus maculatus,Species,-,Dicroglossidae,Amphibians,Frogs,5.6,,0,0,Serasah,Diam,,Anakan
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:03,Varanus indicus,Species,-,Scincidae,Reptiles,Saurias,6.1,,0,0,Batu,Diam,,Batuan berlumut
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:37,Chelonia mydas,Species,-,Ranidae,Amphibians,Frogs,5,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:30,Eretmochelys imbricata,Species,-,Ranidae,Amphibians,Frogs,4.5,,0.5,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:37,Crocodylus porosus,Species,-,Ranidae,Amphibians,Frogs,5.1,,0.5,1.5,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:13,Spilocuscus maculatus,Species,-,Dicroglossidae,Amphibians,Frogs,5,,0,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:45,Varanus indicus,Species,-,Ranidae,Amphibians,Frogs,4.8,,1,1,Akar,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:32,Chelonia mydas,Species,-,Ranidae,Amphibians,Frogs,4.2,,1,1,Akar,Lompat,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:17,Eretmochelys imbricata,Species,-,Dicroglossidae,Amphibians,Frogs,4.98,,2,1.5,Tanah,Diam,,Ditemukan pada tebing
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:09,Crocodylus porosus,Species,-,Rhacophoridae,Amphibians,Frogs,5.48,,1,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:55,Spilocuscus maculatus,Species,-,Rhacophoridae,Amphibians,Frogs,7.4,,3,2,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:50,Varanus indicus,Species,-,Ranidae,Amphibians,Frogs,2.8,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",21:20,Chelonia mydas,Species,-,Microhylidae,Amphibians,Frogs,4.67,,0,0,Batu,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:18,Eretmochelys imbricata,Species,-,Ranidae,Amphibians,Frogs,3.83,,1,2,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:31,Crocodylus porosus,Species,-,Dicroglossidae,Amphibians,Frogs,5.46,,0,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",18:30,Spilocuscus maculatus,Species,-,Megophryidae,Amphibians,Frogs,7.7,,1,1,Batu,Bersuara,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:33,Varanus indicus,Species,-,Ranidae,Amphibians,Frogs,1.6,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:33,Chelonia mydas,Species,-,Ranidae,Amphibians,Frogs,5.4,,1,1,Kayu tumbang,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:40,Eretmochelys imbricata,Species,-,Ranidae,Amphibians,Frogs,1.64,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:40,Crocodylus porosus,Species,-,Ranidae,Amphibians,Frogs,2.5,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:41,Spilocuscus maculatus,Species,-,Ranidae,Amphibians,Frogs,1.5,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:47,Varanus indicus,Species,-,Viperidae,Reptiles,Snakes,,,0,2.5,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:54,Chelonia mydas,Species,-,Ranidae,Amphibians,Frogs,,,1,1,Akar,Lompat,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:54,Eretmochelys imbricata,Species,-,Dicroglossidae,Amphibians,Frogs,3.1,,0,0,Pasir,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:00,Crocodylus porosus,Species,-,Ranidae,Amphibians,Frogs,3.3,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:05,Spilocuscus maculatus,Species,-,Ranidae,Amphibians,Frogs,3.4,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:11,Varanus indicus,Species,-,Ranidae,Amphibians,Frogs,,,1,2,Daun,Lompat,,Tidak tertangkap
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Chelonia mydas,Species,-,Colubridae,Reptiles,Snakes,,,0,0,Batu,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:17,Eretmochelys imbricata,Species,-,Rhacophoridae,Amphibians,Frogs,4.4,,2,2.5,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:21,Crocodylus porosus,Species,-,Rhacophoridae,Amphibians,Frogs,,,1,2,Ranting,Lompat,,Tidak tertangkap
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:21,Spilocuscus maculatus,Species,-,Colubridae,Reptiles,Snakes,,,4,3,Ranting,Diam,,Ditemukan pada tebing
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:23,Varanus indicus,Species,-,Ranidae,Amphibians,Frogs,3.3,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:39,Chelonia mydas,Species,-,Colubridae,Reptiles,Snakes,,,6,2,Ranting,Diam,,Ditemukan saat perpindahan jalur akuatik yang dipotong oleh air terjun pertama
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:45,Eretmochelys imbricata,Species,-,Ranidae,Amphibians,Frogs,3.7,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Crocodylus porosus,Species,-,Agamidae,Reptiles,Saurias,,,0,3,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",21:33,Spilocuscus maculatus,Species,-,Megophryidae,Amphibians,Frogs,,,7,0,Serasah,Diam,,Ditemukan oleh Jarian
